col-a,col-b,col-c,col-d
500 give or take,28,88,87
A blank slate,43,78,40
A blank stare,50,33,42
A buggers muddle,69,40,46
A case-by-case basis,26,57,35
A celebration of illumination,86,73,52
A chip off the old block,74,71,39
A complete non sequitur,45,18,53
A creeping appeasement ,71,16,16
A dark day in history,15,32,61
A degree of surreality,56,72,52
A dignified silence,15,63,53
A done deal,44,26,54
A drama out of a crisis ,72,46,47
A fair crack of the whip,18,21,16
A fair sup of the Sav,22,62,53
A flagrant flourish,25,54,25
A good fighting chance,70,58,74
A guilty plea,51,37,71
A head-of-steam on this one,17,41,79
A hollow victory,78,55,37
A huge debt of gratitude,44,39,60
A kings ransom,16,19,35
A large spoon of concrete,47,53,39
A life lived full,73,22,45
A Likely Lad,14,30,81
A likely yarn,58,76,82
A load of mumbo-jumbo,33,44,81
A majority of one,35,83,82
A majority of won,20,41,67
A malign influence,66,19,62
A miscreants delight,82,57,27
A nest of vipers,36,19,19
A new lease in life,42,58,85
A new world order,17,75,65
A pack of lies,73,31,29
A pig and a poke,71,37,45
A purse of four,76,30,46
A pursuit of happiness,75,44,55
A rude awakening,55,57,74
A shot in the dark,27,81,25
A slap in the face,14,59,82
A spanner in the works,58,87,57
A standing ovation,60,72,56
A stroke of genius,68,19,68
A struggle for legitimacy,55,46,34
A tall order,65,65,77
A theme of vicarious liability,43,81,62
A Towering Inferno,27,31,28
A very long short,23,21,42
A wasp suing a monkey,80,66,69
A worlds first,25,60,24
A blessing in disguise,48,78,73
A case-by-case basis ,78,80,78
A likely yarn,74,20,51
A whimpering police dog,46,69,49
Absolute cobblers,33,56,36
Absolute train-wreck,15,16,14
Absolutely four-square,81,55,21
Accept it at face-value,33,21,63
Across the finish line,71,76,39
Adhere to the oath of office,85,20,17
Affidavit avalanche,52,17,76
Afraid to say boo to a goose,28,53,44
Against All Odds,16,69,37
Ahead of the curve,61,21,34
Ain't over till its over,51,81,20
All at sea,75,66,63
All done n dusted,58,13,77
All guns blazing,57,19,49
All on the goodness of time,87,44,31
All things being equal,40,15,74
All over Red Rover,60,80,55
Alls well that ends well,42,80,40
Already had my compliment,40,62,45
Always look for the silver lining,41,29,82
An about-face,75,61,85
An axe to grind,36,88,75
An elaborate hoaxer,29,82,42
An honorable recalcitrant,69,56,36
An invisible touch,55,47,57
An old battleaxe,12,23,85
"And just like that, she was gone",37,58,65
And that's saying something,16,63,82
Answer to a maiden's prayer,64,42,37
Applied for chiltern 100s,74,28,65
Approaching the final furlong,37,34,37
As fate will have it,61,59,78
As good as it gets,28,17,79
As I think to myself,50,88,25
As rich as Croesus,18,84,22
Ask and you shall receive,37,87,49
At the drop of a hat,46,83,69
At the Ops briefing,84,18,61
Atone for your sins,13,23,63
Attacked on all fronts/Flanks,88,30,30
Attitude adjustment,49,71,42
Audi alteram partem,20,13,49
Back amongst the frey,72,37,13
Back in the day,23,50,14
Back on the straight and narrow,52,40,25
Back up the truck,56,85,29
Bang out of order,24,73,70
Barking mad,14,75,44
Bats in the Belfry,51,56,13
Be the change,79,32,37
Becoming sidetracked,76,59,23
Been collared,50,53,86
Been sent to Coventry,54,85,27
Before I set the ball rolling,32,25,27
Beggar thy neighbour,32,35,73
Beggars banquet,48,20,42
Beggars belief,31,81,39
Behind the curve every step of the way,75,52,19
Bet your bottom dollar,74,79,80
Better late than never,55,15,33
Better safe than sorry,41,76,72
Better the devil you know,59,73,47
Better to give than to receive,63,24,78
Big wheels keep on turning,12,20,88
Biggers middle,23,74,65
Bird on a wire,85,15,39
Bish Bash Bosh,55,88,64
Blinded by the light,44,60,23
Blow away the cobwebs,40,80,82
Bluffing the oysters,55,20,18
Bog standard exit process,61,76,13
Bolt from the blue,20,71,64
Born into this,28,83,56
Born of frustration,47,81,59
Bossy boots,27,63,21
Boys dont cry,43,24,24
Brace for impact,50,74,51
Breaking new ground,44,24,29
Brighter than a pin,20,55,59
Bringing home the bacon,45,12,44
British racing green,66,18,34
Bubble boredom,70,33,29
Bubble toil and trouble,19,62,53
Bunch of Turkeys,12,65,33
Bunker mentality,68,47,36
Busy being forthright,53,75,75
By any means necessary,80,68,25
By hook or by crook,26,81,65
Call us legion,43,35,59
Can go whistle for it,86,17,49
Cards on the table,38,60,62
Cat on a hot tin roof,43,85,60
Caught in a landslide,38,30,72
Caught in the crossfire,85,43,52
Caught in two minds,88,58,29
Challenging the optimism,12,43,72
Changed their modus operandi,62,86,35
Chaotic contradictory and confusing,73,19,36
Cheats never prosper,45,69,67
Chickens come home to roost,22,55,64
Chubby checker,58,52,57
Chucked under the bus,59,15,80
Chuffed to bits,58,59,78
Clap him in irons,41,51,25
Clarity and consensus,84,84,24
Clash of the Titans,20,24,23
Clean as a whistle,85,75,84
Clear as a bell,36,61,33
C'mon Baby Light my Fire,25,52,81
Come hell or high water,16,82,61
Come what may,62,35,85
Comforting lies v complicated truths,73,45,19
Compromise city,75,67,64
Confronting injustice,51,45,35
Contemplating his position,27,21,51
Contemplating their future,39,37,50
Costs an arm and a leg,17,56,60
Couldn't see for looking,78,81,81
Cream of the crop,52,67,73
Creamer of the crop,25,74,38
Cri de coeur,57,59,13
Culture of insolence,59,83,68
Cut and thrust of business,64,65,86
Cutting a long story short,45,20,44
Damsels in distress,74,71,43
Darkest before the dawn,69,51,42
Data deluge,67,46,20
Daydream believer,32,16,76
Deal or no deal,76,57,61
Dealing with a recalcitrant old geezer like me,55,62,55
Deeply dippy,54,35,75
Defies logic,76,61,12
Defying all odds,19,67,83
Delivered at all costs,71,65,40
Democracy without the detail,57,59,55
Dereliction of duty,48,84,62
Develop a sense of urgency,41,88,12
Devil and the deep blue sea,27,42,69
Did I say that out loud,67,57,36
Didn't butter my parsnips,53,17,74
Didn't realise the severity of it all,23,45,38
Different kettle of fish,56,76,24
Diversified to buggery,58,18,80
Diving off the deep end,16,14,12
"Dockhands, sailors, river pirates, and errant swells",38,51,60
Doesn't have to be that way,19,14,61
Dont drink & drive,40,39,14
Dont want to step on your toes,86,59,29
Down the yellow brick road,70,25,26
Dream come true,24,18,82
Dropping like flies,83,29,12
Dull as dishwater,51,35,48
Eager eyes to spot the errant serpents nest,65,33,85
Eager to please,76,72,17
Early to rise,48,49,81
Easy pickings,61,17,19
Echoing our favorite advocate,59,29,26
Education means to lead out,75,22,82
Either a daring adventure or nothing,50,54,58
Embodiment of absent virtues,54,51,74
Empty shell,78,80,66
Enough already,40,62,19
Enough is enough,57,52,21
Enough's enough,85,72,82
Enter stage left,22,31,42
Enter stage right,85,43,85
Every man for themself,64,80,83
Ex post facto,76,42,34
Exception that proves the rule,87,29,76
Exercised amazing constraint,69,48,57
Expecting their marching orders,26,70,64
Eye of newt and toe of frog,86,85,57
Eye on the prize,18,35,46
Eye-rolling reaction,71,27,63
Eyes in the back of her head,30,38,25
Face the facts,17,86,46
Falling on deaf ears,82,53,29
False positives false negatives,25,26,38
Feeling the pangs of guilt,86,50,15
Fight fire with fire,72,22,51
Fight of our lives,33,72,41
Fighting fire with fire,88,70,45
Final flourish,83,44,81
Firing on all cylinders,81,75,82
First among equals,24,66,63
First to the finish line,16,47,79
Flash in the pan,15,63,45
Fleet beats mean,61,28,23
Flexible moral compass,55,47,27
Flush is already busted,82,18,50
Fly in the ointment,47,68,81
Fly under the radar,37,27,82
Flying in the face of convention,17,67,51
Following a line of inquiry,73,65,33
Food for thought,59,35,42
Foot in the mangle,38,54,57
For crying out loud,87,65,29
For fear of Government overreach,69,51,43
For love nor money,72,87,13
For Petes sake,80,83,23
For richer for poorer,44,46,59
For the love of it,74,70,57
For the sake of argument,22,79,72
For whom the Bell tolls,17,31,31
Force of habit,50,34,42
Forge ahead with this,61,27,40
From newcross to Seattle ,34,46,39
Full of false hope,44,86,21
Game of Gowns,88,61,81
Generated more heat than light ,19,14,20
Get it in the neck,39,67,18
Get me off this carousel,72,69,33
Get off the carousel,55,41,30
Get stuck in,84,79,68
Get this place ship-shape,68,61,17
Getting a bum rap,83,75,69
Getting away with murder,14,85,45
Getting past the impasse,13,73,48
Giant leap into the unknown,71,32,36
Give him a wide berth,23,48,12
Give them my brown crown,80,37,53
Give up the ghost,15,25,80
Given a fair crack of the whip,23,19,88
Given a wide berth,28,36,38
Glossing over it,26,26,81
Go to ground,16,46,29
Going hell for leather,49,69,39
Gone to hell in a handbasket,13,47,53
Good point - well made,82,41,73
Good times will come again,59,40,83
Got life in them yet,79,40,16
Got them rattled,51,55,85
Got to be on your game,27,81,73
Got to earn my keep,84,86,56
Great minds think alike,27,70,47
Grin and bear it,21,75,83
Grin-n-bear it,74,62,19
Grow a pair,36,52,24
Guardians of the galaxy,88,60,25
Guilt-ridden,80,38,68
Gulliver's travels,14,54,88
Habit forming,35,83,87
Hair standing on end,41,46,23
Hairdressers have made more headway,74,53,35
Hammer and tongs,54,46,71
Hanging his head in shame,61,83,68
Hard as nails,84,33,46
"Hate the sin, love the sinner",53,63,72
Have a Jeffersonian purity,63,23,24
Have your wits about you,70,53,86
Hawks doves and pragmatists,77,39,53
He calls the shots,53,27,56
Headline grabber,23,88,17
Hello darkness my old friend,41,23,21
He's barking mad,66,41,44
He's having us on,84,13,67
He's pushing his luck,54,14,71
Hic illi dicunt esse dracones ,75,54,81
Hidden in the undergrowth,32,68,20
Highly pertinent questions,88,15,39
High-tide mark,56,72,60
Hit a vein,74,33,48
Hit the ball out of the park,38,29,77
