name,color
EXR Samael (Anti),#ac1100
EXR Asag (Parashu),#6b9622
EXR Dajjal (Anqa),#6e3200
EXR Orcus (Kirpan),#2c5d0c
EXR Mayhem (Chort),#1e4a0f
EXR Daeva (Stolas),#ac1100
EXR Beleth (Raum),#2c5d0c
EXR Belial (Scythe),#2c5d0c
EXR Ljubi (Orcus),#2c5d0c
EXR Murmur (Eblis),#1e4a0f
EXR Jugular(Anti ),#ac1100
EXR Pocong (Raume),#e86606
EXR Xaphan (Hammi),#6e3200
EXR Quantum (Kehua),#2c5d0c
EXR Asag (Phenex),#1e4a0f
EXR Gremory (Orias),#ac1100
EXR Cimejes (Ammit),#6b9622
EXR Dajjal (Raum),#6e3200
EXR Mazoku (Anqa ),#e86606
EXR Furcas (Bathin),#1e4a0f
