call_duration,call_revenue,category,company_size,date,team,units_sold
489.6,2971,furniture,medium,19/12/2017,west,62
395.5,7288,appliances,large,19/12/2017,south,1901
152.5,1528,materials,medium,19/12/2017,midwest,608
162.29999999999998,4864,electronics,large,19/12/2017,west,215
144.5,3704,materials,large,19/12/2017,west,1649
151.5,1936,electronics,medium,19/12/2017,south,155
134.4,2466,electronics,medium,19/12/2017,west,200
252.8,2645,furniture,medium,19/12/2017,west,93
-84.6,1353,electronics,medium,19/12/2017,west,146
135.5,579,appliances,medium,19/12/2017,northeast,325
35.2,1504,furniture,medium,19/12/2017,south,70
208.5,1536,materials,medium,19/12/2017,south,474
168.5,784,materials,small,19/12/2017,west,191
210,335,materials,small,19/12/2017,northeast,134
91.2,196,electronics,small,19/12/2017,northeast,23
100.8,6885,electronics,large,19/12/2017,northeast,415
117.6,1606,electronics,medium,19/12/2017,west,102
334.40000000000003,6652,furniture,large,19/12/2017,west,119
152.1,2517,electronics,medium,19/12/2017,northeast,153
247.20000000000002,807,furniture,small,19/12/2017,west,16
193.5,2127,electronics,medium,19/12/2017,northeast,146
310.40000000000003,8720,furniture,large,19/12/2017,midwest,169
203,1483,appliances,medium,19/12/2017,west,503
185.60000000000002,1528,furniture,medium,19/12/2017,northeast,46
153.6,2682,electronics,large,19/12/2017,west,207
83.7,1502,electronics,medium,19/12/2017,northeast,98
58.5,1439,electronics,medium,19/12/2017,south,83
149.4,1909,electronics,medium,19/12/2017,west,138
156,7882,furniture,large,19/12/2017,south,185
406.40000000000003,1872,furniture,medium,19/12/2017,midwest,59
40,483,appliances,small,19/12/2017,northeast,174
283.5,1350,appliances,medium,19/12/2017,northeast,392
18.9,317,electronics,small,19/12/2017,west,23
191,727,appliances,small,19/12/2017,northeast,194
150,244,appliances,small,19/12/2017,south,165
125.1,4128,electronics,large,19/12/2017,northeast,354
108,279,electronics,small,19/12/2017,south,24
184.8,586,furniture,small,19/12/2017,west,18
142.79999999999998,1945,electronics,medium,19/12/2017,west,109
381.5,660,materials,small,19/12/2017,midwest,161
58.5,393,electronics,small,19/12/2017,northeast,26
147,1584,materials,medium,19/12/2017,west,520
