bitcoin/24h_vol,bitcoin/date,bitcoin/market_cap,bitcoin/price_usd,bitcoin_cash/24h_vol,bitcoin_cash/date,bitcoin_cash/market_cap,bitcoin_cash/price_usd,ethereum/24h_vol,ethereum/date,ethereum/market_cap,ethereum/price_usd,litecoin/24h_vol,litecoin/date,litecoin/market_cap,litecoin/price_usd,ripple/24h_vol,ripple/date,ripple/market_cap,ripple/price_usd
,12/5/2013,,,,12/5/2013,,,,12/5/2013,,,0,12/5/2013,73773387,4.29983,,12/5/2013,,
,13/5/2013,,,,13/5/2013,,,,13/5/2013,,,0,13/5/2013,74936908,4.3594,,13/5/2013,,
0,14/5/2013,1500517590,135.3,,14/5/2013,,,,14/5/2013,,,0,14/5/2013,72037635,4.18295,,14/5/2013,,
0,15/5/2013,1575032004,141.96,,15/5/2013,,,,15/5/2013,,,0,15/5/2013,62957992,3.64914,,15/5/2013,,
0,16/5/2013,1501657492,135.3,,16/5/2013,,,,16/5/2013,,,0,16/5/2013,58565339,3.38879,,16/5/2013,,
0,17/5/2013,1298951550,117.0,,17/5/2013,,,,17/5/2013,,,0,17/5/2013,48265781,2.78957,,17/5/2013,,
0,18/5/2013,1148667722,103.43,,18/5/2013,,,,18/5/2013,,,0,18/5/2013,60927537,3.51708,,18/5/2013,,
0,19/5/2013,1011066494,91.01,,19/5/2013,,,,19/5/2013,,,0,19/5/2013,62963530,3.63013,,19/5/2013,,
0,20/5/2013,1236351843,111.25,,20/5/2013,,,,20/5/2013,,,0,20/5/2013,60937066,3.50733,,20/5/2013,,
0,21/5/2013,1298377788,116.79,,21/5/2013,,,,21/5/2013,,,0,21/5/2013,55968733,3.21463,,21/5/2013,,
0,22/5/2013,1315992303,118.33,,22/5/2013,,,,22/5/2013,,,0,22/5/2013,60398778,3.4615,,22/5/2013,,
0,23/5/2013,1183766500,106.4,,23/5/2013,,,,23/5/2013,,,0,23/5/2013,59867678,3.4239,,23/5/2013,,
0,24/5/2013,1253655040,112.64,,24/5/2013,,,,24/5/2013,,,0,24/5/2013,61338134,3.50018,,24/5/2013,,
0,25/5/2013,1258130700,113.0,,25/5/2013,,,,25/5/2013,,,0,25/5/2013,59463980,3.38675,,25/5/2013,,
0,26/5/2013,1322989457,118.78,,26/5/2013,,,,26/5/2013,,,0,26/5/2013,56943561,3.24093,,26/5/2013,,
0,27/5/2013,1259239352,113.01,,27/5/2013,,,,27/5/2013,,,0,27/5/2013,56414518,3.20229,,27/5/2013,,
0,28/5/2013,1278708678,114.713,,28/5/2013,,,,28/5/2013,,,0,28/5/2013,54127354,3.0673,,28/5/2013,,
0,29/5/2013,1306721052,117.18,,29/5/2013,,,,29/5/2013,,,0,29/5/2013,51798089,2.93058,,29/5/2013,,
0,30/5/2013,1277278987,114.5,,30/5/2013,,,,30/5/2013,,,0,30/5/2013,50797474,2.86922,,30/5/2013,,
0,31/5/2013,1273849680,114.156,,31/5/2013,,,,31/5/2013,,,0,31/5/2013,55996853,3.15827,,31/5/2013,,
0,1/6/2013,1289277412,115.5,,1/6/2013,,,,1/6/2013,,,0,1/6/2013,59038384,3.32471,,1/6/2013,,
0,2/6/2013,1374605382,123.1,,2/6/2013,,,,2/6/2013,,,0,2/6/2013,58186372,3.27158,,2/6/2013,,
0,3/6/2013,1383755085,123.88,,3/6/2013,,,,3/6/2013,,,0,3/6/2013,56791063,3.18818,,3/6/2013,,
0,4/6/2013,1346499261,120.501,,4/6/2013,,,,4/6/2013,,,0,4/6/2013,55006108,3.08331,,4/6/2013,,
0,5/6/2013,1370131821,122.58,,5/6/2013,,,,5/6/2013,,,0,5/6/2013,55248109,3.0921,,5/6/2013,,
0,6/6/2013,1374154117,122.9,,6/6/2013,,,,6/6/2013,,,0,6/6/2013,56423615,3.1525,,6/6/2013,,
0,7/6/2013,1375791900,123.0,,7/6/2013,,,,7/6/2013,,,0,7/6/2013,56403681,3.14642,,7/6/2013,,
0,8/6/2013,1407041527,125.748,,8/6/2013,,,,8/6/2013,,,0,8/6/2013,55979273,3.1162,,8/6/2013,,
0,9/6/2013,1474180657,131.7,,9/6/2013,,,,9/6/2013,,,0,9/6/2013,58588656,3.2562,,9/6/2013,,
0,10/6/2013,1464316690,130.77,,10/6/2013,,,,10/6/2013,,,0,10/6/2013,56217627,3.11957,,10/6/2013,,
0,11/6/2013,1507769010,134.6,,11/6/2013,,,,11/6/2013,,,0,11/6/2013,55813422,3.09213,,11/6/2013,,
0,12/6/2013,1445444605,128.985,,12/6/2013,,,,12/6/2013,,,0,12/6/2013,55603659,3.07544,,12/6/2013,,
0,13/6/2013,1448115966,129.179,,13/6/2013,,,,13/6/2013,,,0,13/6/2013,53366120,2.94667,,13/6/2013,,
0,14/6/2013,1481781794,132.13,,14/6/2013,,,,14/6/2013,,,0,14/6/2013,53448601,2.94623,,14/6/2013,,
0,15/6/2013,1429308633,127.401,,15/6/2013,,,,15/6/2013,,,0,15/6/2013,51665695,2.8435,,15/6/2013,,
0,16/6/2013,1436386729,127.98,,16/6/2013,,,,16/6/2013,,,0,16/6/2013,48943935,2.6895,,16/6/2013,,
0,17/6/2013,1449499974,129.09,,17/6/2013,,,,17/6/2013,,,0,17/6/2013,49707917,2.7273,,17/6/2013,,
0,18/6/2013,1362684200,121.3,,18/6/2013,,,,18/6/2013,,,0,18/6/2013,54475787,2.98423,,18/6/2013,,
0,19/6/2013,1361765704,121.16,,19/6/2013,,,,19/6/2013,,,0,19/6/2013,51772915,2.83148,,19/6/2013,,
0,20/6/2013,1364113639,121.309,,20/6/2013,,,,20/6/2013,,,0,20/6/2013,50528574,2.7589,,20/6/2013,,
0,21/6/2013,1369233814,121.714,,21/6/2013,,,,21/6/2013,,,0,21/6/2013,47379921,2.5823,,21/6/2013,,
0,22/6/2013,1339234925,119.0,,22/6/2013,,,,22/6/2013,,,0,22/6/2013,46505303,2.53026,,22/6/2013,,
0,23/6/2013,1239395972,110.09,,23/6/2013,,,,23/6/2013,,,0,23/6/2013,42694276,2.31937,,23/6/2013,,
