category_label,question_label,value,avg
Learn,Educate Self,96,85
Learn,Research,89,85
Learn,Keep Informed,79,85
Learn,Pass Time,85,85
Learn,Be Entertained,82,85
Learn,Escape,77,85
Learn,Connect,92,85
Learn,Share,86,85
Learn,Discuss,76,85
Learn,Be Part of a Community,72,85
Learn,Opine,74,85
Learn,Entertain Others,69,85
Learn,Emote,75,85
Learn,Be Creative,76,85
Learn,Influence Others,72,85
Learn,Activate Support,69,85
Learn,Join a Cause,66,85
Learn,Work,69,85
Do Business,Manage Finances,30,39
Do Business,Sell,28,39
Do Business,Purchase,33,39
Do Business,Compare,30,39
